CCAA,2019,2020,2021,2022,2023,2024
Andalucía,11327307,3395408,6836688,7905032,8859172,9357807
Aragón,2725298,1092695,1962622,2095936,2194545,2364708
Asturias,1924548,484763,794987,1102346,1131525,1257738
Illes Balears,1695044,515971,908568,1105832,1134185,1251670
Canarias,5436314,1112186,2105739,3008309,3251120,3596157
Cantabria,98077,25432,38876,46279,58292,63608
Castilla-La Mancha,2215922,550829,669193,608382,646991,712223
Castilla y León,3095339,929285,1166893,1270123,1378337,1530658
Cataluña,41143259,13576822,22917119,26305679,27967725,31741463
Comunidad Valenciana,10358690,2124771,4540124,6500351,7080986,8104482
Extremadura,363918,95486,197884,329742,380049,406500
Galicia,553306,106064,174566,466972,481222,533617
La Rioja,73457,23753,34154,45359,52473,66975
Madrid,106412848,28945530,43047948,66909027,70814834,79959935
Murcia,147248,37696,63547,93804,93804,100729
Navarra,134779,34285,19078,99078,87105,92767
País Vasco,2770589,1320282,1872515,2001395,2225372,2208008
Ceuta/Melilla,135408,38984,88748,120115,127234,131821
