id_obra,obra,genero,origen,duracion
1,"101 Dálmatas, el musical",Comedia,Creación Propia,90
2,Aladdín,Familiar,Franquicia,145
3,Anastasia,Familiar,Franquicia,95
4,Annie,Familiar,Franquicia,120
5,Avenue Q,Comedia,Franquicia,135
6,Billy Elliot,Drama,Franquicia,150
7,Cabaret,Drama,Franquicia,150
8,Cantando bajo la lluvia,Comedia,Franquicia,150
9,Cenicienta,Familiar,Franquicia,145
10,Charlie y la fábrica de chocolate,Familiar,Franquicia,150
11,Chicago,Comedia,Franquicia,140
12,Come from away,Drama,Franquicia,100
13,Company,Comedia,Franquicia,170
14,Dirty Dancing,Drama,Franquicia,145
15,El Día de la Marmota,Comedia,Franquicia,150
16,El Fantasma de la Ópera,Drama,Franquicia,150
17,El Guardaespaldas,Drama,Franquicia,150
18,El Jovencito Frankenstein,Comedia,Franquicia,135
19,El Médico,Drama,Creación Propia,180
20,El Rey León,Familiar,Franquicia,165
21,El Tiempo entre Costuras,Drama,Creación Propia,150
22,El ascensor,Comedia,Creación Propia,70
23,El último jinete,Drama,Creación Propia,130
24,En tierra extraña,Drama,Creación Propia,100
25,Flashdance,Drama,Franquicia,150
26,Follies,Comedia,Franquicia,160
27,Forever Young,Comedia,Creación Propia,100
28,"Ghost, el musical",Drama,Franquicia,135
29,Golfus de Roma,Comedia,Franquicia,93
30,Grease,Comedia,Franquicia,150
31,Gypsy,Drama,Franquicia,180
32,Hair,Drama,Franquicia,150
33,Houdini,Biografico,Franquicia,95
34,Kinky Boots,Comedia,Franquicia,130
35,La Alegría que Pasa,Drama,Creación Propia,90
36,La Familia Addams,Familiar,Franquicia,140
37,La Historia Interminable,Familiar,Creación Propia,160
38,La Jaula de las Locas,Comedia,Franquicia,120
39,La Llamada,Comedia,Creación Propia,95
40,La bella y la bestia,Familiar,Franquicia,160
41,"La movida,el musical",Jukebox,Creación Propia,130
42,Los Miserables,Drama,Franquicia,170
43,Los Pilares de la Tierra,Drama,Creación Propia,175
44,Los Productores,Comedia,Franquicia,150
45,Los puentes de Madison,Drama,Franquicia,120
46,Malinche,Drama,Creación Propia,175
47,Mamma Mia!,Jukebox,Franquicia,140
48,Mari i Cel,Drama,Creación Propia,155
49,Marta tiene un marcapasos,Jukebox,Creación Propia,160
50,Mas de 100 mentiras,Jukebox,Creación Propia,170
51,Matilda,Familiar,Franquicia,120
52,My fair lady,Comedia,Franquicia,165
53,Pegados,Comedia,Creación Propia,80
54,"Priscilla, reina del desierto",Comedia,Franquicia,150
55,Quien mató a Sherlock Holmes?,Comedia,Creación Propia,105
56,"Romeo y Julieta, el musical",Drama,Franquicia,140
57,School of Rock,Comedia,Franquicia,170
58,Sister Act,Comedia,Franquicia,150
59,Sonrisas y lágrimas,Familiar,Franquicia,150
60,The Book of Mormon,Comedia,Franquicia,135
61,The Hole,Jukebox,Creación Propia,120
62,The full monty,Comedia,Franquicia,150
63,Tina,Drama,Franquicia,160
64,Tocando nuestra canción,Comedia,Franquicia,165
65,Una rubia muy legal,Comedia,Franquicia,150
66,We Will Rock You,Jukebox,Franquicia,150
