obra,fecha,día,precio_min,precio_max,ciudad,precio_estandar,productora,teatro,diferencia_precios
El rey león,2025-03-28,sábado,52.92,183.6,Madrid,131.76,Stage,Lope de vega,130.68
Cenicienta,2025-03-28,sábado,37.99,170.0,Madrid,105.0,Stage,Coliseum,132.01
Los pilares de la tierra,2025-01-31,sabádo,37.8,110.16,Madrid,73.44,Beón,EDP Gran Vía,72.36
Los miserables,2025-03-28,sábado,49.9,120.0,Madrid,109.9,ATG/SOM,Nuevo Apolo,70.1
Wicked,2025-03-28,sábado,39.0,119.01,Madrid,103.0,ATG/SOM,Nuevo Alcalá,80.01
We will rock you,2025-02-28,sábado,25.0,54.0,Madrid,54.0,GT CXABANK PP,La estación PP,29.0
Mamma mia!,2025-03-28,sábado,55.0,75.0,Gira,69.0,ATG/SOM,La Laboral (GiJón),20.0
"The book of mormon, el musical",2025-01-31,sábado,35.39,86.2,Madrid,77.13,ATG/SOM,Calderón,50.81
Cabaret,2026-03-28,sábado,39.2,155.6,Madrid,68.0,Let's Go,Albéniz,116.4
101 Dálmatas,2026-03-27,viernes,28.5,58.4,Madrid,58.4,GT CXABANK PP Príncipe Pío,La estación PP,29.9
